2601208,ACCTG LAW         ,2  ,                                                                                ,01/03/2559,1300-1500,16/05/2559,0900-1100,4  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1800-2000,PINIT,1005 ,STAFF                        ,LL.B.(GRAD.)        ,                    ,                    ,40 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,208  ,PPC                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,1  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,208  ,PPC                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,307  ,PMR                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,2  ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,COM2 ,215  ,PMR                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,COM8 ,307  ,TVW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,3  ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,COM3 ,205  ,TVW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,4  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,307  ,PMW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601212,INTMD ACCTG I     ,3  ,2601113                                                                         ,02/03/2559,1300-1600,03/05/2559,1300-1600,4  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,307  ,PMW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601213,INTMD ACCTG II    ,3  ,2601212                                                                         ,04/03/2559,0830-1130,11/05/2559,0830-1130,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,204  ,PBK                          ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2601213,INTMD ACCTG II    ,3  ,2601212                                                                         ,04/03/2559,0830-1130,11/05/2559,0830-1130,1  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1500,COM2 ,220  ,PBK                          ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2601213,INTMD ACCTG II    ,3  ,2601212                                                                         ,04/03/2559,0830-1130,11/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,205  ,PMR                          ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2601213,INTMD ACCTG II    ,3  ,2601212                                                                         ,04/03/2559,0830-1130,11/05/2559,0830-1130,2  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1500,MAHIT,612  ,PMR                          ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2601231,MNGL ACCTG        ,3  ,2601114                                                                         ,03/03/2559,1300-1500,04/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,135  ,PKS                          ,ACCOUNTING ONLY     ,                    ,                    ,30 ,16/01/2559 20:00
2601231,MNGL ACCTG        ,3  ,2601114                                                                         ,03/03/2559,1300-1500,04/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1100-1200,COM3 ,205  ,PKS                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2601251,AIS               ,3  ,2601113                                                                         ,29/02/2559,0830-1030,12/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,307  ,PHW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601251,AIS               ,3  ,2601113                                                                         ,29/02/2559,0830-1030,12/05/2559,0830-1130,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,204  ,PHW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601255,MNGL ACCTG        ,3  ,2601115                                                                         ,04/03/2559,1040-1240,03/05/2559,1300-1600,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,COM3 ,208  ,PMW                          ,STAT                ,                    ,                    ,45 ,16/01/2559 20:00
2601255,MNGL ACCTG        ,3  ,2601115                                                                         ,04/03/2559,1040-1240,03/05/2559,1300-1600,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM8 ,306  ,KSO                          ,STAT                ,                    ,                    ,45 ,16/01/2559 20:00
2601313,ADV ACCTG FIN MGT ,3  ,2601116                                                                         ,29/02/2559,1300-1500,16/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM1 ,225  ,NKP                          ,FINANCE             ,                    ,                    ,55 ,16/01/2559 20:00
2601313,ADV ACCTG FIN MGT ,3  ,2601116                                                                         ,29/02/2559,1300-1500,16/05/2559,0830-1130,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM3 ,306  ,PCP                          ,FINANCE             ,                    ,                    ,55 ,16/01/2559 20:00
2601314,MIS               ,3  ,2603271                                                                         ,29/02/2559,0830-1030,12/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,306  ,KNN,UTM                      ,                    ,                    ,                    ,62 ,16/01/2559 20:00
2601314,MIS               ,3  ,2603271                                                                         ,29/02/2559,0830-1030,12/05/2559,0830-1130,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,306  ,KNN,UTM                      ,                    ,                    ,                    ,62 ,16/01/2559 20:00
2601332,PROFIT PLAN/CTRL  ,3  ,2601231                                                                         ,          ,         ,12/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,306  ,STN                          ,ACCOUNTING ONLY     ,                    ,                    ,80 ,16/01/2559 20:00
2601352,ANAL/DSGN ACCTG DB,3  ,2601251                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1000,COM9 ,301  ,OSS,NTG                      ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601352,ANAL/DSGN ACCTG DB,3  ,2601251                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,COM9 ,301  ,OSS,NTG                      ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601352,ANAL/DSGN ACCTG DB,3  ,2601251                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-1000,COM9 ,301  ,OSS,NTG                      ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601352,ANAL/DSGN ACCTG DB,3  ,2601251                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,2  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1000-1200,COM9 ,301  ,OSS,NTG                      ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601354,INFO SYS CTRL/AUD ,3  ,2601361                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,208  ,PHW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601354,INFO SYS CTRL/AUD ,3  ,2601361                                                                         ,04/03/2559,0830-1030,12/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM1 ,131  ,PHW                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601363,PRIN TECH INT AUD ,3  ,2601251OR 2601207                                                               ,02/03/2559,1300-1500,02/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,COM8 ,309  ,AJK                          ,                    ,                    ,                    ,80 ,16/01/2559 20:00
2601365,FRAUD EXAM        ,3  ,2601251                                                                         ,02/03/2559,1300-1500,17/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,COM3 ,108  ,PSR                          ,ACCOUNTING ONLY     ,                    ,                    ,80 ,16/01/2559 20:00
2601369,ACCTG COM BANK INS,3  ,2601213 2601231                                                                 ,          ,         ,10/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1600-1900,COM3 ,307  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00,16/01/2559 20:00
2601382,ERP ACCTG         ,3  ,2601251&2601314                                                                 ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1600-1900,     ,AR   ,WPK                          ,ACCOUNTING ONLY     ,                    ,                    ,35 ,16/01/2559 20:00
2601382,ERP ACCTG         ,3  ,2601251&2601314                                                                 ,          ,         ,          ,TDF      ,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1600-1900,     ,AR   ,WPK                          ,ACCOUNTING ONLY     ,                    ,                    ,35 ,16/01/2559 20:00
2601401,AIS ANA/DSGN      ,3  ,2601352                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,108  ,KNN                          ,AIS TRACK           ,                    ,                    ,60 ,16/01/2559 20:00
2601401,AIS ANA/DSGN      ,3  ,2601352                                                                         ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,1500-1700,COM3 ,108  ,KNN                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601406,ERP DES/IMP ACCTG ,3  ,2601251                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1700-2000,     ,AR   ,WPK                          ,ACCOUNTING ONLY     ,                    ,                    ,35 ,16/01/2559 20:00
